tender_no,title,organization,status,closing_date
2590283/R-2512/310362,INFUSION PUMP,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 31, 2025"
AM_19354- FF,"Rehab Works,etc..","Pakistan State Oil,Karachi central, Pakistan",,"Dec 30, 2025"
CPO/LHQ/S-III/1377,Cutting & Stiching of Uniforms,"National Highway and Motorway Police (NHMP),Kotri, Pakistan",,"Dec 30, 2025"
2590290/R-2512/310370,FIVE PART FULLY AUTOMATIC HEMATOLOGY ANALYZER,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 31, 2025"
0023-LP-CMC-56-P-B,Procurement of Welding Equipments and materials,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 31, 2025"
2590293/R-2512/310363,ETT MACHINE,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 7, 2026"
PD/O&M/PP/32488/25,"Supply of Misc. items (gasket, 15 January 32488/25 dryer, smoke detector etc)","Pakistan Petroleum Limited,Karachi central, Pakistan",,"Dec 30, 2025"
6002/25-26/3/Qf,Furniture Items,"Garrison Headquarters,Pano aqil, Pakistan",,"Dec 30, 2025"
"TE NO.0011, 0015, 0007 & 0008/LP/GDL/56",Procurement of MISCELLANEOUS (04 x ITEMS) SUPPLY OF MISCELLANEOUS (04 x ITEMS),"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 31, 2025"
IT-19348-FI,PROC OF (ADC) ..,"Pakistan State Oil,Karachi east, Pakistan",,"Dec 30, 2025"
Admn-2(1)/2025,"Services for Transportation of furniture, equipment etc","Embassy of Pakistan,Al jahra’, Pakistan",,"Dec 31, 2025"
RF-19355-AA,Canopy Lights,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 30, 2025"
ITR/1064-2,Aluminum Platform..,"Water and Power Development Authority (WAPDA),Mangla, Pakistan",,"Dec 30, 2025"
LP/T-2377/25,"Supply of Fiber Glass Sheet (Thick. = 2 Mm, Width = 12 Ft & Associated Services.","Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 31, 2025"
F.No.1-6/2025-Int,Consultancy Services for TPV of the DS in KPK,"Ministry of Federal Education and Professional Training,Islamabad, Pakistan",,"Dec 31, 2025"
ITR/1075,SERGI System Spares,"Water and Power Development Authority (WAPDA),Mangla, Pakistan",,"Dec 30, 2025"
ADB-PTSP-TL-02R-2025,"Procurement of Goods,etc..","National Grid Company of Pakistan Limited NGC,Lahore, Pakistan",,"Dec 30, 2025"
LP/T-2378/25,1. Supply of Miscellaneous CCTV Items 2. Installation & Commissioning of CCTV Cameras,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 31, 2025"
PRD(L)/WAPDA/150(2025-26),WAPDA MANGLA HOSPITAL MANGLA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 31, 2025"
283,Stationery Items,"Accountant General of Pakistan Revenues,Karachi central, Pakistan",,"Dec 30, 2025"
05/2025-26,Service Agreement for Waste Management,"Public Sector Organization,Lahore, Pakistan",,"Dec 30, 2025"
PRD(L)/WAPDA/148(2025-26),WAPDA TARBELA 4TH EXT. HYDEL POWER STATION WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 31, 2025"
LP/T-2375/25,Supply & Installation Support of “WSRP Tanks”,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 31, 2025"
LP/T-2373/25,Supply of Uniforms,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 31, 2025"
T.E No. 0069/LP/GDL/55 Dated: 17-12-2025.,Pro of 1 x items of SPARE SEGMENTS supply of 1 x items of SPARE SEGMENTS,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 31, 2025"
AMF/751-A/4604/618/Log,Repair of Chemical Tank of Chemical Milling Production Line on FOR Kamra basis,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 30, 2025"
AMF/751-A/4604/617/Log,Repair of Water Tank Of Chemical Milling Production Line on FOR Kamra basis,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 30, 2025"
AMF/751-A/4604/616/Log,Procurement of Filtration Pump on FOR Kamra basis,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 30, 2025"
AMF/751-A/4604/615/Log,Repair of Precision Electric Spark Machine On FOR Kamra basis,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 30, 2025"
PCB-17-2025,PRE-QUALIFICATION POWER GENERATORS ON RENTAL BASIS (POOL ENH (POOL ENHANCEMENT),"Pakistan Cricket Board,Islamabad, Pakistan",,"Dec 30, 2025"
PSW-PROC-25-26-PQ-EP&M-1,Pre-Qualification Panel of Event Planning & Mgt Vendor,"Pakistan Single Window (PSW),Islamabad, Pakistan",,"Dec 30, 2025"
Tender No. CUI/SWL/Procurement/FY 25-26/32/215,"Procurement of Filters, Leathers and other Misc. items Procurement of Filters, Leathers and other Misc.items","COMSATS University,Sahiwal, Pakistan",,"Dec 30, 2025"
,"3 D Laser Scanner,etc..","Ministry of Defence Production,Rawalpindi, Pakistan",,"Dec 30, 2025"
,Universal Thermal Imaging ( TI) Test Equipment,"Ministry of Defence Production,Rawalpindi, Pakistan",,"Dec 30, 2025"
4,Health Insurance Services 2025-26,"Federal Urdu University of Arts Science and Technology,Karachi west, Pakistan",,"Dec 30, 2025"
,Auction,"Station Supply Depot,Bahawalpur, Pakistan",,"Dec 30, 2025"
,"Procurement, handling, storage, and related operational services","Ministry of National Food Security and Research,Islamabad, Pakistan",,"Dec 30, 2025"
,Enterprise Resource Planning (ERP) Software,"Pakistan Medical and Dental Council (PMDC),Islamabad, Pakistan",,"Dec 30, 2025"
01/M.B Din 2025-26,Earthing of Transformer..,"Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Dec 30, 2025"
,Consultancy Services,"Ministry of Federal Education and Professional Training,Islamabad, Pakistan",,"Dec 30, 2025"
,Services for Energy Audit..,"Cantonment Board,Lahore, Pakistan",,"Dec 30, 2025"
No.F.3(1)/2025-Store (DEC-UK),Auction,"Election Commission of Pakistan,Palas, Pakistan",,"Dec 30, 2025"
,"Transparent Ballot Boxes,etc..","Election Commission of Pakistan,Lahore, Pakistan",,"Dec 30, 2025"
PQA/IR&W/SPORT COMPLEX/06/24,Establishment of Cricket Ground and Academy at PQA,"Port Qasim Authority (PQA),Karachi south, Pakistan",,"Jan 1, 2026"
F-25121551183,OUTSOURCING OF COMMON FACILITY CENTRES - CFCS Single Stage two envelope procedure,"Technology Up-Gradation and Skill Development Company (TUSDEC),Lahore, Pakistan",,"Dec 30, 2025"
"TE No.s 0026,0040,0042,0043 & 0048-LP-HVN-56,",Proc. of SS Valve/Elect-Spare/MS Plates/Bearing/Electrode,"Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Dec 30, 2025"
"LPR-10510,10661,10662 & 10777","LPR-10510,10661,10662 & 10777","Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Dec 30, 2025"
1.2/2025-26( IMCG),"Stationery,etc..","Federal Directorate of Education,Islamabad, Pakistan",,"Dec 30, 2025"
,Disposal of Assets,"Ministry of Planning, Development and Reform,Islamabad, Pakistan",,"Dec 29, 2025"
DW&CE/6000-ADVT-CKL/70/E-6,Certain Facilities..,"Military Engineering Services (Airforce),Rawalpindi, Pakistan",,"Dec 29, 2025"
PTA/Enf/Lahore/Admin/238/2025,Procurement of Furniture items for PTA Zonal Offie Lahore,"Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Dec 30, 2025"
,GEN SET..,"National Bank of Pakistan,Karachi central, Pakistan",,"Dec 29, 2025"
TE 0030/FP/HVN/56,Procurement of DI-BUTYLE PHATHALATE (D.B.P) QHC 1-3-72,"Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Dec 30, 2025"
NADRA-HQ-RFB-225/2025,Supply and Installation of Escalator Belts,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Dec 30, 2025"
11.5/002,Hiring of Vehicles,"Sui Northern Gas Pipelines Limited,Gujranwala, Pakistan",,"Dec 29, 2025"
,Const of Standard Boundary Wall.. Const of Standard Boundary Wall.,"Military Engineering Services (Navy),Karachi east, Pakistan",,"Dec 29, 2025"
"LPR-10146,10548,9836,10844,10794,10660,10471,10574 & 10083","LPR-10146,10548,9836,10844,10794,10660,10471,10574 & 10083","Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Dec 30, 2025"
LDC/G/23/TrUE/E/25-26,Fabrication and Supply of TR Unit.. Fabrication and Supply of TR Unit,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 29, 2025"
PD/O&M/PP/32477/25,"Supply of solenoid valve,etc..","Pakistan Petroleum Limited,Karachi east, Pakistan",,"Dec 29, 2025"
"LPR-6237,7690,8134,10262,9911 & 7873","LPR-6237,7690,8134,10262,9911 & 7873","Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Dec 30, 2025"
RC-A4319-SR,Open Frame Work Agreement,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 30, 2025"
RC-A4318-SR,Pre-Qualification for Open Framework Agreement,"Pakistan State Oil,Karachi east, Pakistan",,"Dec 29, 2025"
251215-2/P03-D,Maintenance of Radiology Equipment,"Government of Punjab,Lahore, Pakistan",,"Dec 29, 2025"
2(56)SS(IT)/2025,"Supply of SMD Digital Screen, Smart Boards, Multimedia, Audio Conferencing Solution","Federal Board of Revenue (FBR),Islamabad, Pakistan",,"Dec 29, 2025"
478/2025,Outdoor Digital Advertisement Screens,"Pakistan Industrial Technical Assistance Centre (PITAC),Lahore, Pakistan",,"Dec 29, 2025"
4308,Single Phase Static Meters,"Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Dec 29, 2025"
Inductively Coupled Plasma Optical Emission Spectrometry / Atomic Emission Spectroscopy (ICPOES/ AES) 01 Set 2. Standby Elec,Inductively Coupled Plasma Optical Emission Spectrometry / Atomic Emission Spectroscopy (ICPOES/ AES) 01 Set 2. Standby Elec..,"Pakistan Council of Scientific and Industrial Research,Islamabad, Pakistan",,"Dec 29, 2025"
6/2025-2026,Software Licenses,"National Accountability Bureau,Islamabad, Pakistan",,"Dec 30, 2025"
,Supply of Lifts,"National Bank of Pakistan,Karachi central, Pakistan",,"Dec 29, 2025"
LC-19251-NZ,Services of Electric Instruments,"Pakistan State Oil,Karachi east, Pakistan",,"Dec 29, 2025"
12048,NOTICE FOR INVITING TENDER REPLACEMENT OF GIVEN ENDLESS CONV,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 30, 2025"
,,"Pakistan Industrial Technical Assistance Centre (PITAC),Lahore, Pakistan Outdoor Digital Advertisement Screens  Outdoor Digital Advertisement Screens  478/2025",,"Dec 29, 2025"
,,"Pakistan Council of Scientific and Industrial Research,Islamabad, Pakistan Inductively Coupled Plasma Optical Emission Spectrometry / Atomic Emission Spectroscopy (ICPOES/ AES) 01 Set 2. Standby Elec..  Inductively Coupled Plasma Optical Emission Spectrometry / Atomic Emission Spectroscopy (ICPOES/ AES) 01 Set 2. Standby Elec  3/EDF/KLC/PCSIR/2025-26",,"Dec 29, 2025"
,,"National Accountability Bureau,Islamabad, Pakistan Software Licenses     6/2025-2026",,"Dec 30, 2025"
,,"National Bank of Pakistan,Karachi central, Pakistan Supply of Lifts  Supply of Lifts",,"Dec 29, 2025"
,,"Pakistan State Oil,Karachi east, Pakistan Services of Electric Instruments   Services of Electric Instruments   LC-19251-NZ",,"Dec 29, 2025"
ICE & CONT/L.C/IT/25-26,"Repair/ Refurbishment of Engine Block,etc..","Pakistan Navy,Karachi east, Pakistan",,"Dec 29, 2025"
630/32/CMES/14/E-6,Certain Facilities ..,"Military Engineering Services (Airforce),Rawalpindi, Pakistan",,"Dec 29, 2025"
1 x items of CLOTH / FABRIC FOR IFDS,CLOTH / FABRIC FOR IFD,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 30, 2025"
LET/128/25,GAS GENSETS & DEISEL GENSETS,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 30, 2025"
SS-19349- FI,IP PTZ Camera..,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 29, 2025"
OP-19362-NZ,Supply & Installation of Radiator .. Supply & Installation of Radiator,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 29, 2025"
PQ-A4810- IA,Fuel Storage Tanks..,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 29, 2025"
,Services Required for LPG Pilot Project Operations..,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 29, 2025"
PRD(L)/WAPDA/149(2025-26),WAPDA SE (D&S) TARBELA DAM WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 30, 2025"
P&D 47,Attendance Sheet Technical Bid Opening Roof Treatment work Technical Bid Opening Roof Treatment work British Council,"Balochistan University of Information Technology, Engineering and Management Sciences (Buitems),Quetta city, Pakistan",,"Dec 29, 2025"
DSN/10897,Purchase of Paint Purchase of Paint Interline 850 Gry,"Ministry of Defence Production (DGDP),London, United kingdom",,"Dec 29, 2025"
PNSC/HYDERABAD/SPARES/031/2025,INTERNATIONAL TENDER FOR PROCUREMENT OF HATCH COVER PACKING EMERGENT PROVISO 13(1),"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 29, 2025"
,Transportation / Safe Handling and Erection of 31&36 P.C Pol SE (OP) BWN-67,"Multan Electric Power Company (MEPCO),Multan City, Pakistan",,"Dec 29, 2025"
480/2025,Upgradation and Renovation..,"Pakistan Industrial Technical Assistance Centre (PITAC),Lahore, Pakistan",,"Dec 29, 2025"
2022,Supply of Furniture,"Garrison Furniture Yard,Karachi central, Pakistan",,"Dec 29, 2025"
,TC For Artificer Work,"Military Engineering Services (Army),Kohat, Pakistan",,"Dec 29, 2025"
6025-ADV/16/E-6,Repair/ Maintenance B&R..,"Military Engineering Services (Airforce),Karachi central, Pakistan",,"Dec 29, 2025"
05(2025-26),Const of Command and Control Center..,"Lahore Electric Supply Company (LESCO),Lahore city, Pakistan",,"Dec 29, 2025"
15/2025,Sale ... Sale...,"HQ Logistic Area,Rawalpindi, Pakistan",,"Dec 29, 2025"
5829,"Mineral Water,etc..","Regional Tax Office,Karachi central, Pakistan",,"Dec 29, 2025"
SAPSA2025-26 Food Show,Pakistani food Road show Organization of Pakistani Food Road Show,"High Commission of Pakistan,Dhaka, Pakistan",,"Dec 29, 2025"
01/Power Van/Outsource/2025 (DAP),Railway Power Van Corrigendum:,"Pakistan Railways,Lahore city, Pakistan",,"Dec 29, 2025"
,Outsourcing of Support Staff Services,"National School of Public Policy,Lahore city, Pakistan",,"Dec 29, 2025"
23/Used Engine Oil/2025__,Sale of Used Engine Oil,"National Logistics Corporation (NLC),Rawalpindi, Pakistan",,"Dec 29, 2025"
KPK,PM-KP-2022-23-2005,"National Highway Authority (NHA),Islamabad, Pakistan",,"Dec 29, 2025"
02,"Const of Shell Shed,etc..","Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Dec 29, 2025"
,"Misc Items,etc..","Pakistan Airforce,Rawalpindi, Pakistan",,"Dec 29, 2025"
5/RB/RSF/LOG/NHMP/2025-26/1144,"Uniform Cloth, Lubricants,etc..","National Highway and Motorway Police (NHMP),Islamabad, Pakistan",,"Dec 29, 2025"
CUI-VHR/PUR/VEH.13/202,Supply of Tyres..,"COMSATS,Vehari, Pakistan",,"Dec 29, 2025"
CUI-VHR/PUR-Stat.24/2025,"Provision of Stationery, Printing & General Items","COMSATS,Vehari, Pakistan",,"Dec 29, 2025"
,,"Garrison Furniture Yard,Karachi central, Pakistan Supply of Furniture  Supply of Furniture  2022",,"Dec 29, 2025"
,,"Military Engineering Services (Army),Kohat, Pakistan TC For Artificer Work   TC For Artificer Work",,"Dec 29, 2025"
,,"Military Engineering Services (Airforce),Karachi central, Pakistan Repair/ Maintenance B&R..  Repair/ Maintenance B&R..  6025-ADV/16/E-6",,"Dec 29, 2025"
,,"Lahore Electric Supply Company (LESCO),Lahore city, Pakistan Const of  Command and Control Center..  Const of  Command and Control Center..  05(2025-26)",,"Dec 29, 2025"
,,"HQ Logistic Area,Rawalpindi, Pakistan Sale ...  Sale...  15/2025",,"Dec 29, 2025"
,,"Regional Tax Office,Karachi central, Pakistan Mineral Water,etc..  Mineral Water,etc..  5829",,"Dec 29, 2025"
,,"High Commission of Pakistan,Dhaka, Pakistan Pakistani food Road show   Organization of Pakistani Food Road Show  SAPSA2025-26 Food Show",,"Dec 29, 2025"
,,"Pakistan Railways,Lahore city, Pakistan Railway Power Van  Corrigendum:  01/Power Van/Outsource/2025 (DAP)",,"Dec 29, 2025"
,,"National School of Public Policy,Lahore city, Pakistan Outsourcing of  Support Staff Services  Outsourcing of  Support Staff Services",,"Dec 29, 2025"
,,"Pakistan Airforce,Rawalpindi, Pakistan Misc Items,etc..  Misc Items,etc..",,"Dec 29, 2025"
,,"National Highway and Motorway Police (NHMP),Islamabad, Pakistan Uniform Cloth, Lubricants,etc..  Uniform Cloth, Lubricants,etc..  5/RB/RSF/LOG/NHMP/2025-26/1144",,"Dec 29, 2025"
,,"COMSATS,Vehari, Pakistan Supply of Tyres..  Supply of Tyres..  CUI-VHR/PUR/VEH.13/202",,"Dec 29, 2025"
,,"COMSATS,Vehari, Pakistan Provision of Stationery, Printing & General Items  Provision of Stationery, Printing & General Items  CUI-VHR/PUR-Stat.24/2025",,"Dec 29, 2025"
20/0001/00-0/1-2025,TENDER ARE INVITED FOR MISCELLANEOUS ITEMS Corrigendum:,"Pakistan Railways,Lahore city, Pakistan",,"Dec 29, 2025"
,"Misc Items,etc..","HQ Frontier Corps (KPK),Peshawar, Pakistan",,"Dec 29, 2025"
6014/142/e-6,Misc Repair/ Renov / Distemper..,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 29, 2025"
01/2026,Provision of Vehicle,"Sui Northern Gas Pipelines Limited,Sahiwal, Pakistan",,"Dec 29, 2025"
DC-2026/1,Re-Habilitation of NTC OFC network (PCBDDA) Lahore Re-Habilitation of NTC OFC network Liberty Gulburg to Kalma,"National Telecommunication Corporation (NTC),Lahore, Pakistan",,"Dec 29, 2025"
,"Services Required Transportation ,etc..","Pakistan Post Office,Rawalpindi, Pakistan",,"Dec 29, 2025"
"0010/LP/GDL/56, dated 17-DEC-2025",Pro of 1 x items of HIGH QUALITY STRUCTURAL STEEL NO.35 Supply of 1 x items of HIGH QUALITY STRUCTURAL STEEL NO.35,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 29, 2025"
BD/0016/MN,Services required for Provident and Gratuity Funds,"PSO Renewable Energy Pvt. Limited,Karachi central, Pakistan",,"Dec 29, 2025"
04,"Construction Material,etc..","502 Central Workshop EME,Rawalpindi, Pakistan",,"Dec 29, 2025"
,"Construction Material/Services,etc..","Headquarter 11 Div,Lahore, Pakistan",,"Dec 29, 2025"
6013/e6-0rgluo,"Running Contract of Bazar Supply,etc..","Military Engineering Services (Army),Multan City, Pakistan","Apr 14, 2026","Dec 29, 2025"
DCM/25090027/R-2512/320343,INSTALLATION AND COMMISSIONING OF LUBRICITY TEST OF DIESEL,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 29, 2025"
2590431/R-2511/310285,ULTRASONIC MILK ANALYZER ALONGWITH STANDARD ACCESSORIES,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 29, 2025"
398 SIG/ARI/Material/ITSW/TENDER/2025-26,PROCUREMENT OF SIGNALING MATERIAL Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 29, 2025"
CICP/B03/IND/2505237/R-2512/320373,PROCUREMENT OF PIPING COPPER RD SEAMLESS,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 29, 2025"
CICP/E01/IND/2511162/R-2512/320358,PROCUREMENT OF FENDER MARINE,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 29, 2025"
NADRA-HQ-RFB-224/2025,Procurement of Uniform items,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Dec 29, 2025"
"0015, 0039, 0041 & 0044- HVN-LP-56",PROCUREMENT OF CHEMICAL/APPRATUS/VALVES/STANDARD INSTURMENT,"Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Dec 29, 2025"
BRT/MKTG/MIX/13/2025-26,"Sales of 20,000 Tons Barite Ore & 5,000 Tons Barite Powder","Pakistan Petroleum Limited,Quetta city, Pakistan",,"Dec 29, 2025"
3013-3018MM,"FESCO TENDER NOTICE Live War Tester, High Voltage Detector etc","Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Dec 31, 2025"
15/5-595/Dir/ICT/ PTA/25,Procurement of Enterprise Grade Backup & Replication Softwar,"Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Dec 29, 2025"
3006-3012MM,"FESCO TENDER NOTICE Grip pulling conductor, fiber glass ladder etc","Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Dec 30, 2025"
,,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan FESCO TENDER NOTICE  Gloves, Chain Pully etc  2999-3001&3003-3005MM",,"Dec 30, 2025"
,,"Combined Military Hospital,Rawalpindi, Pakistan Cafeteria  Services,etc....  Cafeteria  Services,etc....",,"Dec 29, 2025"
,,"Combined Military Hospital,Rawalpindi, Pakistan Fumigation ,etc..  Fumigation ,etc..",,"Dec 29, 2025"
,,"State Bank of Pakistan,Rawalpindi, Pakistan Canteen Services  Canteen Services  RWP-GSU/Canteen Services/361039 /2025",,"Dec 29, 2025"
,,"Airports Security Force,Karachi central, Pakistan Tender for Services & Repair Maintenance ASF Faisalabad AP   Tender for Services & Repair Maintenance ASF Faisalabad AP   01/ASF(FSD)/2025-26/Store",,"Dec 29, 2025"
04/Store/2025-26/Qta,Tender for Supply of Furniture items ASF Quetta Airport,"Airports Security Force,Karachi central, Pakistan",,"Dec 26, 2025"
PRD(L)/WAPDA/146(2025-26),WAPDA SUPERINTENDING ENGINEER TARBELA DISTRICT DAM,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 30, 2025"
PCB-09-A-2025,PREQUALIFICATIONS OF INTERNATIONAL AND DOMESTIC TRAVEL MANAG,"Pakistan Cricket Board,Islamabad, Pakistan",,"Dec 26, 2025"
"APF/786-A/1921/13/LP/PC-07,08,09,10,11",procurement of spares / components,"Pakistan Aeronautical Complex,Attock, Pakistan",,"Dec 26, 2025"
0001-FP-55-Capital-Pur-MGFy dt 24.12.2025.,Procurement of CNC Surface Grindng Machine 0001-FP-55-Capital-Pur-MGFy dt 24.12.2025,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 26, 2025"
PACB/741/50635026/0961/P-1,Procurement of Fire Tender,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Jan 13, 2026"
N/A,Procurement of Access Control & Security Management System,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 26, 2025"
PRD(L)/WAPDA/139(2025-26),WAPDA RE JINNAH HYDEL POWER STATION MIANWALI,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 26, 2025"
PTA/ICT/589/2025,"Supply, Installation and Config of Core and Campus Switches","Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Dec 25, 2025"
7,Maintenance/ Painting of 6x Guys Support Towers (SST),"Special Communications Organization,Muzaffarabad, Pakistan",,"Dec 25, 2025"
P&D 46,Establishment of Sustainable Built Environment Lab Civil works of Environmental Lab to be Executed at BUITEMS,"Balochistan University of Information Technology, Engineering and Management Sciences (Buitems),Quetta city, Pakistan",,"Dec 25, 2025"
SSGC/SC/PT/EPADS/14132,Civil Works Construction of 03 Nos. CPS Solar Room at Karach,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 25, 2025"
SSGC/SC/PT/EPADS/14120,Civil Works Construction/Installation of Deep Well Ground Be,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 25, 2025"
SSGC/SC/PT/EPADS/14131,Installation /Refurbishment of Deep Well Groundbed (06 Nos.),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 25, 2025"
SSGC/SC/PT/EPADS/14145,Hiring of Third Party Contractor for HSE & QA/QC Inspection,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 25, 2025"
"Supply of M.s Socket/ Coupling 3/4""","M.s Socket/ Coupling 3/4""","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 24, 2025"
LE-113/25,Paint and Thinner Supply of Paint and Thinner,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 8, 2026"
LED/128/25,SLA FOR COUNTRY-WIDE INTERNET-CIR FOR THE PERIOD OF 2 YEARS,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 24, 2025"
03,Cutting & Stitching of Uniform NHMP N-5 South-I Sukkur,"National Highway and Motorway Police (NHMP),New sukkur, Pakistan",,"Dec 24, 2025"
PCB-13-2025,Prequalification of Firms for Glass Services,"Pakistan Cricket Board,Islamabad, Pakistan",,"Dec 26, 2025"
TUSDEC/TUG/NSPAIT-27,TENDER NOTICE FOR SUPPLY OF MACHINERY AND EQUIPMENT Single Stage Two Envelop,"Technology Up-Gradation and Skill Development Company (TUSDEC),Lahore, Pakistan",,"Jan 5, 2026"
EQ-12-2025-Project,Purchase of IT Equipment for Research Project uploaded EPADS,"NUST School of Electrical Engineering and Computer Sciences-SEECS,Islamabad, Pakistan",,"Dec 24, 2025"
"LPR10199,10345,10406,10415,10580SBST-6/DT1081,82,85,86,87,88","LPR10199,10345,10406,10415,10580SBST-6/DT1081,82,85,86,87,88","Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Dec 24, 2025"
CICP/B03/IND/2505090/R-2511/ 320276,PROCUREMENT OF STEEL T-SECTION CARBON STEEL (FINISH BLACK),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
LET/162/25,KIOSK MACHINE,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 24, 2025"
6010-A/12/E-6,"Rehab of Accomodation ,etc..","Military Engineering Services (Airforce),Sargodha, Pakistan",,"Dec 24, 2025"
1(2025-26),"Office Stationery, etc..","Pakistan Meteorological Department,Karachi central, Pakistan",,"Dec 24, 2025"
,,"National Highway and Motorway Police (NHMP),New sukkur, Pakistan Cutting & Stitching of Uniform NHMP N-5 South-I Sukkur  Cutting & Stitching of Uniform NHMP N-5 South-I Sukkur  03",,"Dec 24, 2025"
,,"Pakistan Cricket Board,Islamabad, Pakistan Prequalification of Firms for Glass Services    PCB-13-2025",,"Dec 26, 2025"
,,"Technology Up-Gradation and Skill Development Company (TUSDEC),Lahore, Pakistan TENDER NOTICE FOR SUPPLY OF MACHINERY AND EQUIPMENT  Single Stage Two Envelop   TUSDEC/TUG/NSPAIT-27",,"Jan 5, 2026"
,,"NUST School of Electrical Engineering and Computer Sciences-SEECS,Islamabad, Pakistan Purchase of IT Equipment for Research Project  uploaded EPADS  EQ-12-2025-Project",,"Dec 24, 2025"
,,"Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan LPR10199,10345,10406,10415,10580SBST-6/DT1081,82,85,86,87,88  LPR10199,10345,10406,10415,10580SBST-6/DT1081,82,85,86,87,88  LPR10199,10345,10406,10415,10580SBST-6/DT1081,82,85,86,87,88",,"Dec 24, 2025"
,,"Military Engineering Services (Airforce),Rawalpindi, Pakistan Certain Facilities..  Certain Facilities..  6000-P/17/E-6",,"Dec 24, 2025"
,,"Pakistan Meteorological Department,Karachi central, Pakistan Office Stationery, etc..  Office Stationery, etc..  1(2025-26)",,"Dec 24, 2025"
