tender_no,title,organization,status,closing_date
1500,Supply of Medicines..,"Ministry of Kashmir Affairs and Gilgit-Baltistan,Rawalpindi, Pakistan",,"Jan 9, 2026"
0031,Tender Notice International Islamic University Islamabad,"International Islamic University,Islamabad, Pakistan",,"Jan 11, 2026"
UCH/TE/004/2026,FIBER GLASS TRANSPARENT SHEET (CORRUGATED),"Sui Northern Gas Pipelines Limited,Bahawalnagar, Pakistan",,"Jan 10, 2026"
UCH/TE/003/2026,"G.I SHEET, 16 GAUGE, SIZE: 8’ X 4’","Sui Northern Gas Pipelines Limited,Bahawalnagar, Pakistan",,"Jan 10, 2026"
CEMB NP 07,JANUARY 2026 NP 07 EQUIPMENT AND MATERIAL,"HEC Degree Awarding Universities,Lahore, Pakistan",,"Jan 10, 2026"
.128-W/14/T.N./Pt-II/WA,BUTTER FLY SHELTER AT ISLAND PLATFORM Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 10, 2026"
,"Procurement of Oil & Lubricant (Tallow) and Rubber Hose Pipe 0007-LP-CMC-56-PE and 0018-LP-CMC-56-PE, Dated 12-12-2025","Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 10, 2026"
DSN/10901,Purchase of Spares Intergard 7600 Pure Epoxy Universal Primer Grey Aluminium,"Ministry of Defence Production (DGDP),London, United kingdom",,"Jan 9, 2026"
DSN/10900,Purchase of Spares Corrosion Preventive Compound MIL-C-81309,"Ministry of Defence Production (DGDP),London, United kingdom",,"Jan 9, 2026"
DSN/10899,Purchase of Goods Paint Heat Resisting,"Ministry of Defence Production (DGDP),London, United kingdom",,"Jan 9, 2026"
DSN/10898,Procurement of goods Intertuf 203 JVA207 Black,"Ministry of Defence Production (DGDP),London, United kingdom",,"Jan 9, 2026"
393,Construction of Multipurpose Sports Complex Faisalabad 15 days,"Pakistan Sports Board,Allama Iqbal, Pakistan",,"Jan 9, 2026"
GSD (Proc. II)/S&S-HOK/363850/2025,Security and Search Services for SBP BSC,"State Bank of Pakistan,Karachi west, Pakistan",,"Jan 9, 2026"
,IT No 36 LY-80 FY 2025-26,"303 Spares Depot EME,Lahore city, Pakistan",,"Jan 9, 2026"
,IT No 35 Misc Veh FY 2025-26,"303 Spares Depot EME,Lahore city, Pakistan",,"Jan 9, 2026"
,IT No 34 A Veh FY 2025-26,"303 Spares Depot EME,Lahore city, Pakistan",,"Jan 9, 2026"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,PRE-QUALIFICATION OF BUNKER SUPPLIERS FOR PNSC MANAGED VESSE,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Jan 9, 2026"
2026-20,impact evaluation of these two (2) Projects,"Pakistan Bait-ul-Mal,Islamabad Capital Territory (ICT), Pakistan",,"Jan 9, 2026"
2026-19,OPEN AUCTION OF USED VEHICLES,"Pakistan Bait-ul-Mal,Islamabad Capital Territory (ICT), Pakistan",,"Jan 9, 2026"
Proposals No. PRIMACO (EOBI) – TA/01/2026,Procurement of Consultancy Services for Transaction Advisor,"Pakistan Real Estate Investment and Management Company (Pvt.) Ltd,Islamabad, Pakistan",,"Jan 9, 2026"
MNT/TE/003/2026,Miscellaneous Tools,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 9, 2026"
MND/TE/002/2026,WHITE / COLOR PAPER A-4 SIZE,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 9, 2026"
MND/TE/001/2026,TYRE WITH TUBE / TUBELESS TYRE (ASSORTED SIZES),"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 9, 2026"
2026-18,CORRIGENDUM-requires a building having all amenities,"Pakistan Bait-ul-Mal,Islamabad Capital Territory (ICT), Pakistan",,"Jan 9, 2026"
ADB-LESCO-CS-001,Hiring of Consulting Services for PDS and OHS,"Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Jan 9, 2026"
GHPL/GEN/04/01-26,OFFICE RENOVATION & FURNISHING WORKS,"Government Holdings (Pvt) Limited,Islamabad, Pakistan",,"Jan 9, 2026"
Recycling of Mixed Damaged / Dismantled Rods,FESCO TENDER NOTICE,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Jan 9, 2026"
LP/T-4013/26,"Supply, Installation & Commissioning of 10 KVA UPS","Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 9, 2026"
LP/T-4009/26,Hiring of Services for Annual Maintenance Contract of Addressable Fire Alarm SYSTEM,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 9, 2026"
08 to 11/RYK/2025-26 & 12/RYK/2025-26,"Erection of HT 36, 45 Feet & LT 31 Feet PC Spun Poles Erection of HT 36 Feet & LT 31 Feet PC Spun Poles","Multan Electric Power Company (MEPCO),Multan City, Pakistan",,"Jan 9, 2026"
,Transportation/Safe Handling and Erection of 31&36 Ft long SE(OP)BWN-68,"Multan Electric Power Company (MEPCO),Multan City, Pakistan",,"Jan 9, 2026"
SSC/2025/974,Alumni Home-Coming 2025 Bahria University,"Bahria University,Islamabad, Pakistan",,"Jan 9, 2026"
LP/T-2380/26,SUPPLY OF COATED PAPER REXINE ON ONE SIDE GREEN,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 9, 2026"
18 /Normal,Misc Items,"Central Ordnance Depot,Rawalpindi, Pakistan",,"Jan 9, 2026"
,Thermal Imaging ( TI) Facility Essentials,"Ministry of Defence Production,Rawalpindi, Pakistan",,"Jan 9, 2026"
,Indigenous Development..,"Ministry of Defence Production,Rawalpindi, Pakistan",,"Jan 9, 2026"
26011594210,Solarization of CB Water Works at Rawalpindi Cantt,"Cantonment Board,Rawalpindi, Pakistan",,"Jan 9, 2026"
01/2026,Golf Carts Electric,"Public Sector Organization,Islamabad, Pakistan",,"Jan 9, 2026"
13-25-26,"Water Tanks,etc..","Public Sector Organization,Dera Ghazi Khan (D.G. Khan), Pakistan",,"Jan 9, 2026"
,"Repair/ Maintenance of Water Supply Pipeline,etc..","Workers Welfare Fund,Peshawar, Pakistan",,"Jan 9, 2026"
,Supply & Installation of Signage & Graphics Works at PSO Retail Outlets (5th Round),"Pakistan State Oil,Karachi central, Pakistan",,"Jan 9, 2026"
,"Supply, Installation and Rehabilitation of Monolith Towers at PSO Retail Outlets (5th Round)","Pakistan State Oil,Karachi central, Pakistan",,"Jan 9, 2026"
OP-19366-SZ,Services for Dismantling..,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 9, 2026"
RT-7005,PROCUREMENT OF BREAK BLEEDING PRESSURE MEASURING (WITH 14 X,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 9, 2026"
OP-19391- MS,Supply of Aqueous Film Forming Foam (AFFF),"Pakistan State Oil,Karachi central, Pakistan",,"Jan 9, 2026"
12078,TENDER NOTICE GOLDEN BUSINESS OPPORTUNITY TO ESTABLISH & OPE,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 9, 2026"
AD-19393-FI,CCTV System,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 9, 2026"
RT-8701,Procurement of Noise Less Compressor (Dry),"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Heavy Industries Taxila (HIT),Taxila, Pakistan"
GUJ/Te/001/2026,Split Air Conditioner,"Sui Northern Gas Pipelines Limited,Gujranwala city, Pakistan",,"Jan 9, 2026"
ADMIn:FST:11.5(001/25),Gas Turbine Meter,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 9, 2026"
EP -31To EP-35,"Safe Loading, Unloading,etc..","Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Jan 9, 2026"
,Auction,"Election Commission of Pakistan,Karachi central, Pakistan",,"Jan 9, 2026"
,Special Contingency Items,"Pakistan Airforce,Islamabad, Pakistan",,"Jan 9, 2026"
384/13,Invitation to e-Bids,"Oil and Gas Development Company Limited,Islamabad, Pakistan",,"Jan 9, 2026"
,Uniform & Protecting Clothing,"Federal Board of Revenue (FBR),Lahore, Pakistan",,"Jan 9, 2026"
PD/O&M/PP/32540/26,"Supply of PCB,etc..","Pakistan Petroleum Limited,Karachi central, Pakistan",,"Jan 9, 2026"
,"Supply of Syringe ,etc...","Ministry of Religious Affairs & Interfaith Harmony,Islamabad, Pakistan",,"Jan 9, 2026"
(Tender) CPO/LHQ/M-3)/25-26/01,Cutting & Stitching of Uniforms,"National Highway and Motorway Police (NHMP),Sharkpur, Pakistan",,"Jan 9, 2026"
MNGR ( O&M) HVDC -02-2026,Tools & Plants..,"National Grid Company of Pakistan Limited NGC,Hyderabad, Pakistan",,"Jan 9, 2026"
MNGR ( O&M) HVDC-04-2026,Personal Protective EQuipment .. Personal Protective EQuipment,"National Grid Company of Pakistan Limited NGC,Hyderabad city, Pakistan",,"Jan 9, 2026"
MNGR( O&M)HVDC HYD-02-2025,Tools & Plants...,"National Grid Company of Pakistan Limited NGC,Hyderabad, Pakistan",,"Jan 9, 2026"
AF-M5-2024-25-02,"AF-M5-2024-25-01 , Lahore","National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 9, 2026"
,Provision of Transformer...,"National Skill University,Islamabad, Pakistan",,"Jan 9, 2026"
,Wooden Student Chairs,"National Skill University,Islamabad, Pakistan",,"Jan 9, 2026"
PC/PHS/2026,Lunch Box Duplex,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 9, 2026"
FSD-O/Rack/26,Oven Rack Multi-Purpose,"Pakistan International Airline (PIA),Karachi south, Pakistan",,"Jan 9, 2026"
FSD-25010124,Paper Tray Mat..,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 9, 2026"
S&D/Tender /ENG STAND /26,Sae Shipment...,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 9, 2026"
Svcs/C&M/Safe City Center NCI/2025,ESTABLISHMENT OF SAFE CITIES CENTER,"National Radio Tele Communication Corporation,Haripur, Pakistan",,"Jan 9, 2026"
Svcs/C&M/Renovation of Robotic Lab 2025,RENOVATION OF ROBOTIC LAB,"National Radio Tele Communication Corporation,Haripur, Pakistan",,"Jan 9, 2026"
Svcs/C&M/Renovation of EW/2025,RENOVATION OF EU LAB,"National Radio Tele Communication Corporation,Haripur, Pakistan",,"Jan 9, 2026"
IT -348,Misc Items,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 9, 2026"
81201/08/LP/EME/ASD,Expendables Items,"Aviation Spare Depot EME,Multan City, Pakistan",,"Jan 9, 2026"
IC/PD/2025/26/TD-021-RE,Civil and New Flexible Flooring System,"Islamabad Club,Islamabad, Pakistan",,"Jan 9, 2026"
IC/PD/2025/26/TD-049,HIRING OF LEGAL ADVISOR (LAW FIRM),"Islamabad Club,Islamabad, Pakistan",,"Jan 9, 2026"
IC/PD/2026/27/TD-047,Golf Course Pavers Work,"Islamabad Club,Islamabad, Pakistan",,"Jan 9, 2026"
,Stationery Items..,"HQ 4 Corps,LAHORE, Pakistan",,"Jan 9, 2026"
2003,Furniture Items,"Garrison Headquarters,Mangla, Pakistan",,"Jan 9, 2026"
12077,INVITATION TO BID PROCUREMENT OF QTY-15-ALMIRAH FOR P&D DIRE,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 9, 2026"
,Auction,"Cantonment Board,Lahore, Pakistan",,"Jan 9, 2026"
"0101-LP-B&G-56-B,",Emery Cloth Belt..,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 9, 2026"
Stationery/HRA&P/PSH/002/2026,Stationery Items,"State Life Insurance Corporation of Pakistan,Peshawar, Pakistan",,"Jan 9, 2026"
2025-26/03,Auction,"National Database and Registration Authority NADRA,Karachi central, Pakistan",,"Jan 9, 2026"
BE(Admn-Store)2(1)/2025-26,"Supply of Stationery, Miscellaneous & Toners","Bureau of Emigration and Overseas Employment,Islamabad, Pakistan",,"Jan 9, 2026"
FMU/IT EQUIPMENT & SERVICES/2025-26/006,Renewal of Service Level Agreement (SLA).. Renewal of Service Level Agreement (SLA),"Financial Monitoring Unit (FMU),Karachi central, Pakistan",,"Jan 9, 2026"
2320205/R-2406/310460,12 X ITEMS OF HFDF SYSTEM,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 9, 2026"
CA No.01 To 05/Rehbl & Repr works/SAA & BM /Civil/2025-26.,"Rehablitation/Replacment works of CO-8,DO-1,C-19,CO-1 & CO-3","Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 9, 2026"
T-SC-180,Hiring of Security Firm Hiring of Security Firm for provision of Security Personnel,"Northern Power Generation Company Limited GENCO III,Muzaffargarh, Pakistan",,"Jan 9, 2026"
